word,frequency
placed,36
mean,36
fixed,36
five,36
fell,36
cook,36
boys,36
book,36
bone,36
aspect,36
around,36
want,35
suppose,35
ready,35
oars,35
legs,35
human,35
hat,35
ground,35
Greenland,35
gentlemen,35
forecastle,35
flukes,35
famous,35
bulwarks,35
arms,35
turns,34
thoughts,34
Such,34
sign,34
shot,34
previous,34
middle,34
heavy,34
gold,34
fifty,34
coast,34
Cape,34
American,34
top,33
strong,33
sails,33
sailing,33
remained,33
pipe,33
nearly,33
nature,33
masthead,33
Let,33
idea,33
forehead,33
easy,33
completely,33
company,33
ashore,33
wonder,32
WHALE,32
skin,32
skeleton,32
show,32
SAILOR,32
proper,32
planks,32
passage,32
Pacific,32
none,32
low,32
killed,32
house,32
holding,32
heaven,32
hammock,32
fear,32
doubt,32
Do,32
Daggoo,32
coffin,32
bulk,32
brain,32
account,32
weather,31
visible,31
table,31
species,31
rolling,31
rigging,31
red,31
pull,31
nose,31
natural,31
mariners,31
mad,31
lines,31
intervals,31
hardly,31
etext,31
drawing,31
carpenter,31
bear,31
ago,31
across,31
While,30
vessels,30
unless,30
try,30
truth,30
substance,30
soft,30
received,30
really,30
possible,30
person,30
mastheads,30
jet,30
instances,30
generally,30
free,30
final,30
fair,30
darkness,30
cast,30
carried,30
captains,30
boy,30
Besides,30
wood,29
vain,29
upper,29
tossed,29
swimming,29
strangely,29
steel,29
stands,29
smoke,29
sky,29
rising,29
quick,29
question,29
Project,29
possibly,29
ones,29
One,29
oh,29
miles,29
leviathan,29
late,29
jaws,29
Its,29
hull,29
huge,29
hoisted,29
harpoons,29
hammer,29
fresh,29
foot,29
entirely,29
die,29
de,29
altogether,29
already,29
aft,29
act,29
words,28
touch,28
TO,28
third,28
strike,28
pretty,28
pass,28
O,28
mild,28
mast,28
leeward,28
Ive,28
hung,28
glance,28
except,28
considering,28
Come,28
cold,28
become,28
ancient,28
wholly,27
sideways,27
sides,27
seeing,27
read,27
Queequegs,27
quarterdeck,27
Nevertheless,27
knows,27
hope,27
hearts,27
feeling,27
eyeing,27
considerable,27
certainly,27
born,27
astern,27
alongside,27
yourself,26
wooden,26
Who,26
Upon,26
takes,26
suspended,26
start,26
somewhat,26
pointed,26
otherwise,26
lie,26
kind,26
Im,26
hunters,26
helm,26
giving,26
getting,26
gale,26
From,26
followed,26
flying,26
fancy,26
enormous,26
ears,26
dropped,26
degree,26
complete,26
command,26
circumstances,26
circumstance,26
cant,26
bodily,26
blubber,26
year,25
yards,25
woe,25
Whats,25
Thus,25
thinking,25
thick,25
supper,25
stop,25
steady,25
started,25
souls,25
Sir,25
similar,25
silent,25
seated,25
scene,25
royal,25
precisely,25
play,25
number,25
masts,25
learned,25
leaning,25
island,25
interval,25
hell,25
front,25
following,25
fishermen,25
Fedallah,25
duty,25
chest,25
cases,25
carry,25
blow,25
bit,25
believe,25
bearing,25
ahead,25
worlds,24
whiteness,24
whats,24
whaleship,24
whaleboat,24
warm,24
twenty,24
thyself,24
thrown,24
thirty,24
swift,24
Stubbs,24
storm,24
skull,24
seldom,24
remains,24
regular,24
overboard,24
oar,24
love,24
looks,24
landlord,24
King,24
keel,24
hump,24
hinted,24
friend,24
floating,24
exactly,24
Dutch,24
drop,24
different,24
dart,24
chief,24
bright,24
became,24
afterwards,24
added,24
Where,23
watery,23
wall,23
tall,23
sweet,23
strength,23
spread,23
speaking,23
six,23
secret,23
regarded,23
real,23
ran,23
pursuit,23
perils,23
orders,23
nevertheless,23
midnight,23
Like,23
level,23
lances,23
kill,23
instead,23
hot,23
honour,23
hidden,23
hence,23
grow,23
gods,23
flew,23
finally,23
escape,23
during,23
cutting,23
country,23
commanded,23
coat,23
circle,23
chapter,23
aside,23
wonderful,22
Theres,22
stove,22
St,22
shipmates,22
rose,22
remain,22
pulling,22
Of,22
My,22
lives,22
Is,22
hunt,22
hint,22
higher,22
flesh,22
First,22
fin,22
filled,22
fiery,22
dye,22
drew,22
drawn,22
directly,22
